Date,Applications,Visitors
17/04/2016,0,0
18/04/2016,0,2
19/04/2016,0,4
20/04/2016,3,10
21/04/2016,1,15
22/04/2016,0,2
23/04/2016,0,0
24/04/2016,0,0
25/04/2016,0,4
26/04/2016,0,1
27/04/2016,0,2
28/04/2016,0,1
29/04/2016,0,2
30/04/2016,0,0
01/05/2016,0,0
02/05/2016,0,4
03/05/2016,0,2
04/05/2016,0,1
05/05/2016,0,2
06/05/2016,0,2
07/05/2016,0,1
08/05/2016,0,0
09/05/2016,0,1
10/05/2016,0,2
11/05/2016,0,3
12/05/2016,0,4
13/05/2016,0,1
14/05/2016,0,0
15/05/2016,0,0
16/05/2016,0,4
17/05/2016,0,4
18/05/2016,0,4
19/05/2016,0,1
20/05/2016,0,8
21/05/2016,0,2
22/05/2016,0,1
23/05/2016,0,64
24/05/2016,0,2
25/05/2016,0,8
26/05/2016,1,17
27/05/2016,0,2
28/05/2016,0,0
29/05/2016,0,0
30/05/2016,2,13
31/05/2016,0,2
01/06/2016,0,0
02/06/2016,0,1
03/06/2016,0,10
04/06/2016,0,0
05/06/2016,0,0
06/06/2016,0,11
07/06/2016,1,11
08/06/2016,0,4
09/06/2016,0,25
10/06/2016,0,3
11/06/2016,0,0
12/06/2016,0,1
13/06/2016,0,7
14/06/2016,0,1
15/06/2016,0,8
16/06/2016,0,1
17/06/2016,0,2
18/06/2016,0,0
19/06/2016,1,1
20/06/2016,0,7
21/06/2016,0,3
22/06/2016,0,7
23/06/2016,0,1
24/06/2016,0,0
25/06/2016,0,0
26/06/2016,0,0
27/06/2016,0,0
28/06/2016,0,0
29/06/2016,0,3
30/06/2016,0,0
01/07/2016,0,1
02/07/2016,0,0
03/07/2016,0,0
04/07/2016,0,3
05/07/2016,0,8
06/07/2016,0,3
07/07/2016,0,1
08/07/2016,0,3
09/07/2016,0,0
10/07/2016,0,0
11/07/2016,1,11
12/07/2016,0,15
13/07/2016,0,0
14/07/2016,0,2
15/07/2016,0,1
16/07/2016,0,0
17/07/2016,0,0
18/07/2016,0,11
19/07/2016,0,20
20/07/2016,0,9
21/07/2016,0,18
22/07/2016,0,2
23/07/2016,0,0
24/07/2016,0,0
25/07/2016,0,3
26/07/2016,0,2
27/07/2016,0,1
28/07/2016,0,5
29/07/2016,0,0
30/07/2016,0,0
31/07/2016,0,0
01/08/2016,0,1
02/08/2016,0,0
03/08/2016,1,1
04/08/2016,0,1
05/08/2016,0,1
06/08/2016,0,0
07/08/2016,0,0
08/08/2016,0,4
09/08/2016,0,2
10/08/2016,0,4
11/08/2016,0,2
12/08/2016,0,1
13/08/2016,0,0
14/08/2016,0,0
15/08/2016,0,3
16/08/2016,0,1
17/08/2016,0,0
18/08/2016,0,2
19/08/2016,0,7
20/08/2016,0,0
21/08/2016,0,0
22/08/2016,1,8
23/08/2016,0,2
24/08/2016,0,3
25/08/2016,0,3
26/08/2016,0,20
27/08/2016,0,0
28/08/2016,0,1
29/08/2016,0,8
30/08/2016,0,6
31/08/2016,0,0
01/09/2016,0,4
02/09/2016,0,0
03/09/2016,0,1
04/09/2016,0,0
05/09/2016,1,11
06/09/2016,0,1
07/09/2016,1,6
08/09/2016,0,1
09/09/2016,2,4
10/09/2016,0,0
11/09/2016,0,8
12/09/2016,0,1
13/09/2016,0,5
14/09/2016,2,15
15/09/2016,0,10
16/09/2016,1,5
17/09/2016,0,0
18/09/2016,0,0
19/09/2016,0,0
20/09/2016,1,1
21/09/2016,0,2
22/09/2016,0,6
23/09/2016,0,2
24/09/2016,0,2
25/09/2016,1,0
26/09/2016,0,0
27/09/2016,0,3
28/09/2016,0,1
29/09/2016,0,1
30/09/2016,0,3
01/10/2016,0,3
02/10/2016,1,4
03/10/2016,0,0
04/10/2016,0,0
05/10/2016,1,3
06/10/2016,1,3
07/10/2016,1,3
08/10/2016,0,4
09/10/2016,0,2
10/10/2016,0,0
11/10/2016,0,0
12/10/2016,0,1
13/10/2016,1,1
14/10/2016,0,1
15/10/2016,0,2
16/10/2016,0,3
17/10/2016,0,0
18/10/2016,0,3
19/10/2016,1,3
20/10/2016,0,0
21/10/2016,0,0
22/10/2016,0,3
23/10/2016,0,0
24/10/2016,0,0
25/10/2016,0,1
26/10/2016,0,3
27/10/2016,0,3
28/10/2016,0,0
29/10/2016,0,0
30/10/2016,0,1
31/10/2016,1,3
01/11/2016,0,3
02/11/2016,1,0
03/11/2016,1,2
04/11/2016,0,2
05/11/2016,0,0
06/11/2016,0,2
07/11/2016,1,2
08/11/2016,0,1
09/11/2016,10,28
10/11/2016,1,5
11/11/2016,0,1
12/11/2016,0,0
13/11/2016,0,0
14/11/2016,0,0
15/11/2016,1,2
16/11/2016,1,2
17/11/2016,1,2
18/11/2016,1,5
19/11/2016,0,0
20/11/2016,0,0
21/11/2016,0,0
22/11/2016,0,3
23/11/2016,1,5
24/11/2016,2,3
25/11/2016,0,2
26/11/2016,0,1
27/11/2016,0,0
28/11/2016,1,5
29/11/2016,0,4
30/11/2016,0,2
01/12/2016,0,3
02/12/2016,0,2
03/12/2016,0,2
04/12/2016,0,0
05/12/2016,1,4
06/12/2016,0,3
07/12/2016,0,2
08/12/2016,1,1
09/12/2016,0,1
10/12/2016,0,2
11/12/2016,0,0
